device,shape,requested,executed,kernel_ms,end_to_end_ms,cpu_ms,cpu_speedup,direct_speedup,gflops,max_abs,max_rel,mean_abs,pass
"NVIDIA GeForce RTX 3050 Laptop GPU",N1_C1_H8_W8_M4_K3_S1,direct,direct,0.010578,0.105400,0.003567,0.337191,1.000000,0.245046,1.490116e-08,7.805977e-06,2.173086e-09,true
"NVIDIA GeForce RTX 3050 Laptop GPU",N1_C1_H8_W8_M4_K3_S1,tiled-gemm,tiled-gemm,0.011479,0.099500,0.003567,0.310711,0.921471,0.225803,1.490116e-08,7.805977e-06,2.173086e-09,true
"NVIDIA GeForce RTX 3050 Laptop GPU",N1_C1_H8_W8_M4_K3_S1,adaptive,direct,0.011080,0.119600,0.003567,0.321911,0.954685,0.233942,1.490116e-08,7.805977e-06,2.173086e-09,true
"NVIDIA GeForce RTX 3050 Laptop GPU",N8_C3_H32_W32_M16_K3_S1,direct,direct,0.039639,0.568200,5.289667,133.445877,1.000000,156.936189,8.940697e-08,2.103680e-03,6.488924e-09,true
"NVIDIA GeForce RTX 3050 Laptop GPU",N8_C3_H32_W32_M16_K3_S1,tiled-gemm,tiled-gemm,0.033935,0.616700,5.289667,155.874771,1.168075,183.313213,8.940697e-08,2.103680e-03,6.488924e-09,true
"NVIDIA GeForce RTX 3050 Laptop GPU",N8_C3_H32_W32_M16_K3_S1,adaptive,tiled-gemm,0.034263,0.255200,5.289667,154.384033,1.156904,181.560067,8.940697e-08,2.103680e-03,6.488924e-09,true
"NVIDIA GeForce RTX 3050 Laptop GPU",N4_C16_H32_W32_M32_K3_S1,direct,direct,0.154778,0.633800,27.217035,175.846085,1.000000,214.356598,2.980232e-07,4.766349e-03,2.538951e-08,true
"NVIDIA GeForce RTX 3050 Laptop GPU",N4_C16_H32_W32_M32_K3_S1,tiled-gemm,tiled-gemm,0.135629,0.608400,27.217035,200.672989,1.141185,244.620630,2.980232e-07,4.766349e-03,2.538951e-08,true
"NVIDIA GeForce RTX 3050 Laptop GPU",N4_C16_H32_W32_M32_K3_S1,adaptive,tiled-gemm,0.131625,1.237900,27.217035,206.777176,1.175899,252.061630,2.980232e-07,4.766349e-03,2.538951e-08,true
"NVIDIA GeForce RTX 3050 Laptop GPU",N4_C32_H31_W29_M64_K3_S2,direct,direct,0.218153,2.621700,24.616369,112.839951,1.000000,141.945178,3.576279e-07,8.901427e-03,4.406921e-08,true
"NVIDIA GeForce RTX 3050 Laptop GPU",N4_C32_H31_W29_M64_K3_S2,tiled-gemm,tiled-gemm,0.129710,0.604300,24.616369,189.779922,1.681850,238.730563,3.576279e-07,8.901427e-03,4.406921e-08,true
"NVIDIA GeForce RTX 3050 Laptop GPU",N4_C32_H31_W29_M64_K3_S2,adaptive,tiled-gemm,0.134728,0.433400,24.616369,182.712051,1.619214,229.839643,3.576279e-07,8.901427e-03,4.406921e-08,true
"NVIDIA GeForce RTX 3050 Laptop GPU",N2_C64_H28_W28_M64_K5_S1,direct,direct,1.064059,2.677700,195.151184,183.402618,1.000000,221.726072,1.311302e-06,3.106295e-03,1.618933e-07,true
"NVIDIA GeForce RTX 3050 Laptop GPU",N2_C64_H28_W28_M64_K5_S1,tiled-gemm,tiled-gemm,0.653956,2.102500,195.151184,298.416168,1.627110,360.772635,1.311302e-06,3.106295e-03,1.618933e-07,true
"NVIDIA GeForce RTX 3050 Laptop GPU",N2_C64_H28_W28_M64_K5_S1,adaptive,tiled-gemm,0.631071,2.398000,195.151184,309.238220,1.686117,373.856032,1.311302e-06,3.106295e-03,1.618933e-07,true
